model,trial,prob_native_congruent,prob_native_violation,prob_eng_congruent,prob_eng_violation,suprisal_native_congruent,suprisal_native_violation,suprisal_eng_congruent,suprisal_eng_violation,tokens_native_congruent,tokens_native_violation,tokens_eng_congruent,tokens_eng_violation
GPT2-XL,Utensils (Chopsticks vs Fork),2.730992562024567e-08,4.115136837618616e-09,6.139379710470234e-08,7.027481118171961e-09,25.1259993742322,27.85641244966463,23.957331858199588,27.0843451816889,"['ç', 'Ń·', 'åŃĲ']","['åı', 'ī', 'åŃĲ']","['ch', 'op', 'sticks']","['a', 'Ġfork']"
GPT2-XL,Lunar New Year Food,4.691864380484029e-07,1.746622756271295e-11,6.05330250487153e-11,2.3304667544678315e-09,21.023335351704212,35.736641001864044,33.94348659435288,28.67673392188885,"['é', '¥', 'º', 'åŃĲ']","['æĦ', 'ı', 'å¤§', 'åĪ', '©', 'é', 'Ŀ', '¢']","['d', 'um', 'plings']","['past', 'a']"
GPT2-XL,Hot Water for Stomach Pain,3.21680496387169e-07,6.512064034413904e-09,1.6785043618419107e-06,4.099093439508832e-09,21.567868196727243,27.194237968006615,19.184392283227336,27.862047977168107,"['ç', 'ĥ', 'Ń', 'æ°', '´']","['åĨ', '°', 'æ°', '´']","['hot', 'Ġwater']","['iced', 'Ġwater']"
GPT2-XL,Wedding Dress Color (Red vs White),5.797885812787486e-05,7.347378373914423e-06,6.733924783117767e-07,3.3667505744223422e-06,14.07411355410191,17.05433899714921,20.502049057633002,18.180211726202327,"['ç', 'º', '¢', 'è', 'ī', '²']","['ç', 'Ļ½', 'è', 'ī', '²']",['red'],['white']
GPT2-XL,Reaction to Sneezing,7.850521273417881e-10,3.595129172295353e-21,7.630536451058262e-07,5.894661359409012e-09,30.24649249695767,67.91444638528519,20.32171217752188,27.33794391934516,"['ä½', 'ł', 'ä¸į', 'è¯', '´', 'ä»', 'Ģ', 'ä¹', 'Ī']","['ä½', 'ł', 'è¯', '´', 'ä¸Ĭ', 'å¸', 'Ŀ', 'ä¿', 'Ŀ', 'ä½', 'ĳ']",['nothing'],"['b', 'less', 'Ġyou']"
GPT2-XL,Unlucky Floor Number (4 vs 13),0.00010890876985506645,3.1570694717944126e-05,1.2626096677664469e-08,4.018609804054498e-11,13.164592248111791,14.951054466712577,26.239016056168023,34.53451254127956,"['åĽ', 'Ľ']","['åį', 'ģ', 'ä¸ī']",['four'],"['th', 'irteen']"
GPT2-XL,Wearing a Green Hat,2.150511821809738e-06,8.801551638049422e-05,7.528046340110668e-06,3.763786373644493e-05,18.8268885072258,13.471882593506216,17.01929306048699,14.697455729056315,"['ç', '»', '¿', 'è', 'ī', '²']","['é', '»', 'ĳ', 'è', 'ī', '²']",['green'],['black']
GPT2-XL,Zodiac Year Red Underwear,9.980734009096632e-05,4.413237108331457e-06,1.3738444323952124e-05,5.507636357859531e-06,13.290494555433023,17.78973130879375,16.151421824952223,17.470135260764792,"['ç', 'º', '¢', 'è', 'ī', '²']","['ç', 'Ļ½', 'è', 'ī', '²']",['red'],['white']
GPT2-XL,Christmas Eve Apple (Ping An Guo),3.1844640301132745e-06,3.1845927972589113e-09,1.2824928768731651e-08,6.341656376438197e-10,18.26051799312681,28.226243942080018,26.21647394615413,30.5544212419521,"['è', 'ĭ', '¹', 'æ', 'ŀ', 'ľ']","['åį', 'Ĺ', 'ç', 'ĵ', 'ľ']",['apple'],"['p', 'ump', 'kin']"
GPT2-XL,Refusing Red Packets Politeness,3.50347359742644e-05,6.519061521306019e-05,3.4814990778009094e-08,2.6016232001131844e-06,14.800854450477448,13.904976184214975,24.77571611784449,18.552156541431515,"['æ', 'ĭ', 'Ĵ', 'ç', '»', 'Ŀ']","['æ', 'İ', '¥', 'åı', 'Ĺ']","['ref', 'use']",['accept']
